code,ident,name,type,length_ft,width_ft,surface,le_elevation_ft
VE,SVHG,Higuerote Airport,small_airport,3937,98,ASPH,10
VE,SVJC,Josefa Camejo International Airport,medium_airport,9186,148,ASPH,75
VE,SVLF,La Fria Airport,medium_airport,6643,190,ASPH,289
VE,SVMC,La Chinita International Airport,medium_airport,8202,98,CON,229
VE,SVMG,Del Caribe Santiago Mariño International Airport,medium_airport,10499,150,ASPH,74
VE,SVMI,Simón Bolívar International Airport,large_airport,9930,148,ASPH,230
VE,SVMT,Maturín Airport,medium_airport,6890,148,ASPH,213
VE,SVPA,Cacique Aramare Airport,medium_airport,8272,140,ASPH,245
VE,SVPR,General Manuel Carlos Piar International Airport,medium_airport,6726,148,ASPH,472
VE,SVSO,Mayor Buenaventura Vivas International Airport,medium_airport,9990,148,ASPH,1083
VE,SVSR,San Fernando De Apure Airport,medium_airport,6420,160,ASPH,156
VE,SVSZ,Miguel Urdaneta Fernández Airport,medium_airport,8835,130,ASPH,32
VE,SVVA,Arturo Michelena International Airport,medium_airport,9842,164,ASPH,1415
